id,subset,prompt,has_instruction,has_examples,has_constraints,has_style,has_context,num_examples,instruction_length,total_tokens,prompt_length,word_count,num_sentences,num_components
super_glue_cb_GPT_3_style_0,super_glue_cb_GPT_3_style,"It was a complex language. Not written down but handed down. One might say it was peeled down.
Question: the language was peeled down True, False, or Neither?",True,False,False,False,False,0.0,0.14,0.056,158,28,4,1
super_glue_cb_GPT_3_style_1,super_glue_cb_GPT_3_style,"It is part of their religion, a religion I do not scoff at as it holds many elements which match our own even though it lacks the truth of ours. At one of their great festivals they have the ritual of driving out the devils from their bodies. First the drummers come on - I may say that no women are allowed to take part in this ritual and the ladies here will perhaps agree with me that they are fortunate in that omission.
Question: no women are allowed to take part in this ritual True, False, or Neither?",True,False,True,False,False,0.0,0.345,0.198,508,99,4,2
super_glue_cb_GPT_3_style_2,super_glue_cb_GPT_3_style,"The Paris to Rouen railway was being extended to Le Havre, and the line cut straight through Dr Flaubert's land. Part of it was to be compulsorily purchased. You could say that Gustave was shepherded into creative retreat at Croisset by epilepsy.
Question: Gustave was shepherded into creative retreat at Croisset by epilepsy True, False, or Neither?",True,False,False,False,False,0.0,0.285,0.114,350,57,4,1
super_glue_cb_GPT_3_style_3,super_glue_cb_GPT_3_style,"Part of it was to be compulsorily purchased. You could say that Gustave was shepherded into creative retreat at Croisset by epilepsy. You could also say he was driven there by the railway.
Question: Gustave was driven to creative retreat in Croisset by the railway True, False, or Neither?",True,False,False,False,False,0.0,0.245,0.098,289,49,4,1
super_glue_cb_GPT_3_style_4,super_glue_cb_GPT_3_style,"Some of them, like for instance the farm in Connecticut, are quite small. If I like a place I buy it. I guess you could say it's a hobby.
Question: buying places is a hobby True, False, or Neither?",True,True,False,False,False,0.1,0.13,0.078,197,39,4,2
super_glue_cb_GPT_3_style_5,super_glue_cb_GPT_3_style,"Look, my dear, I'm not in my dotage yet, and I know I'm a grumbler and a complainer. You could say the only form of comfort I 've got are my complaints.
Question: the only form of comfort he has are his complaints True, False, or Neither?",True,False,False,False,False,0.0,0.235,0.094,238,47,3,1
super_glue_cb_GPT_3_style_6,super_glue_cb_GPT_3_style,"Then the silence in the Zoo became complete. Woil stared around him and then suddenly with a push of his wings raised himself into the air, turned, and landed ten feet away on the back of a green bench. Creggan could see that he was afraid and that his fear was making him terribly uncertain.
Question: Woil was afraid True, False, or Neither?",True,False,False,False,False,0.0,0.315,0.126,343,63,4,1
super_glue_cb_GPT_3_style_7,super_glue_cb_GPT_3_style,"But, of course, that just wasn't possible. Her disappointment over Jonathan, which had driven her to France in the first place, had been relegated somewhere to the back of her mind. Now in retrospect she could see that marriage to him would have been a ghastly mistake and that her reaction to discovering that he had been seeing other women while he had been engaged to her had had far more to do with wounded pride than with a wounded heart.
Question: marriage to Jonathan would have been a ghastly mistake True, False, or Neither?",True,False,False,False,False,0.0,0.475,0.19,533,95,4,1
super_glue_cb_GPT_3_style_8,super_glue_cb_GPT_3_style,"Like now. The Community in Knockglen would defend Eve vociferously. Even some of the Sisters here in Dublin might see that the girl had a point.
Question: the girl had a point True, False, or Neither?",True,False,False,False,False,0.0,0.18,0.072,200,36,4,1
super_glue_cb_GPT_3_style_9,super_glue_cb_GPT_3_style,"``They have to be crushed, Bobkins!'' So saying, she marched off down the gravel path, making the kind of crunching noise Robert had thought could only be produced by the BBC sound-effects department. As they rounded the edge of the building he could see that behind the house was a vast garden.
Question: behind the house was a vast garden True, False, or Neither?",True,False,False,False,False,0.0,0.325,0.128,365,64,4,1
